INFO 2012-07-11 16:55:24,376 configurator Getting config from config file /home/josh/minecraft/pyredstone.cfg
DEBUG 2012-07-11 16:55:24,377 configurator ['Test']
INFO 2012-07-11 16:55:24,410 pyredstone Server going down in 1 minute.
INFO 2012-07-11 16:57:01,583 pyredstone Asking configurator for config from /home/josh/minecraft/pyredstone.cfg
INFO 2012-07-11 16:57:01,583 configurator Getting config from config file /home/josh/minecraft/pyredstone.cfg
DEBUG 2012-07-11 16:57:01,584 configurator ['Test']
INFO 2012-07-11 16:57:01,584 configurator Getting config from config file /home/josh/minecraft/pyredstone.cfg
DEBUG 2012-07-11 16:57:01,585 configurator ['Test']
INFO 2012-07-11 16:57:01,619 pyredstone Server going down in 1 minute.
INFO 2012-07-11 16:58:06,101 pyredstone Asking configurator for config from /home/josh/minecraft/pyredstone.cfg
INFO 2012-07-11 16:58:06,101 configurator Getting config from config file /home/josh/minecraft/pyredstone.cfg
DEBUG 2012-07-11 16:58:06,101 configurator ['Test']
INFO 2012-07-11 16:58:06,102 configurator Getting config from config file /home/josh/minecraft/pyredstone.cfg
DEBUG 2012-07-11 16:58:06,102 configurator ['Test']
INFO 2012-07-11 16:58:06,149 pyredstone Server going down in 1 minute.
INFO 2012-07-11 16:58:36,193 pyredstone Server going down in 30 seconds.
INFO 2012-07-11 16:58:51,219 pyredstone Server going down in 15 seconds.
INFO 2012-07-11 16:59:06,282 pyredstone Asking configurator for config from /home/josh/minecraft/pyredstone.cfg
INFO 2012-07-11 16:59:06,283 configurator Getting config from config file /home/josh/minecraft/pyredstone.cfg
DEBUG 2012-07-11 16:59:06,284 configurator ['Test']
INFO 2012-07-11 16:59:06,284 configurator Getting config from config file /home/josh/minecraft/pyredstone.cfg
DEBUG 2012-07-11 16:59:06,285 configurator ['Test']
INFO 2012-07-11 16:59:06,330 pyredstone Server going down in 1 minute.
INFO 2012-07-11 17:00:52,635 pyredstone Asking configurator for config from /home/josh/minecraft/pyredstone.cfg
